date,team_a,team_b,a_score,b_score,margin,model_spread,market_spread,cover_prob,actual_covered,actual_margin,hit,profit
2026-01-10,Marist,Rider,62,49,13,2.5,-14.63,0.5,false,13,true,631.52
2026-01-10,Quinnipiac,Sacred Heart,65,49,16,2.5,-6.5,0.5,true,16,true,366.15
2026-01-10,Saint Peter's,Mount St. Mary's,71,68,3,2.5,-5.86,0.5,true,3,true,300
2026-01-10,USC,Minnesota,,,,2.5,0,0.5,false,0,false,-69
2026-01-10,Akron,Bowling Green,,,,2.5,0,0.5,false,0,false,-48
2026-01-10,Northern Kentucky,Milwaukee,85,67,18,2.5,2.89,0.5,true,18,false,0
2026-01-10,Wright St.,Detroit Mercy,,,,2.5,-8.13,0.5,false,0,false,0
2026-01-11,UAB,East Carolina,,,,2.5,-15.76,0.5,false,0,false,0
2026-01-11,Marist,Rider,71,49,22,2.5,-14.63,0.5,true,22,true,631.5154060000001
2026-01-11,Quinnipiac,Sacred Heart,70,60,10,2.5,-6.5,0.5,true,10,true,366.1491160000001
2026-01-11,Siena,Mount St. Mary's,,,,2.5,-5.86,0.5,false,0,false,0
2026-01-11,Northwestern,Rutgers,75,77,-2,2.5,-8.17,0.5,false,-2,false,-266.25999999999993
2026-01-11,Illinois,Iowa,75,69,6,2.5,-3.13,0.5,true,6,true,241.29332200000002
2026-01-11,Northern Kentucky,Green Bay,78,80,-2,2.5,-1.99,0.5,false,-2,false,-198.64
2026-01-11,Ohio St.,Washington,74,81,-7,2.5,0.4,0.5,false,-7,false,-120.94000000000013
2026-01-11,Memphis,Florida Atlantic,78,89,-11,2.5,0.9,0.5,false,-11,false,-72.64000000000004
2026-01-11,Purdue Fort Wayne,Robert Morris,79,74,5,2.5,2.82,0.5,true,5,true,9.90919000000007
2026-01-11,Charlotte,Rice,74,73,1,2.5,2.19,0.5,true,1,false,0
2026-01-16,Ohio,Ball St.,71,76,-5,2.5,-3.17,0.5,false,-5,false,-269.2
2026-01-16,Creighton,Providence,88,93,-5,2.5,0.31,0.5,false,-5,false,-94.48
2026-01-16,Colorado St.,Boise St.,73,79,-6,2.5,0.93,0.5,false,-6,false,-66.34